content,score,at,clean_text,normalized_text,text_StopWords,text_tokens,text_steaming,sentimen,,
saya iqba bagus baget wak :v,1,2025-05-05 09:02:11,saya iqba bagus baget wak v,saya iqba bagus baget wak v,iqba bagus baget wak v,"['iqba', 'bagus', 'baget', 'wak', 'v']",iqba bagus baget wak v,positif,,
susah,4,2025-04-11 14:01:31,susah,susah,susah,['susah'],susah,negatif,,
"kenapa yah kok aplikasi nya sudah tidak dapat digunakan lagi, padahal di email diarahkan mengunduh aplikasi ini?",1,2025-04-09 23:09:47,kenapa yah kok aplikasi nya sudah tidak dapat digunakan lagi padahal di email diarahkan mengunduh aplikasi ini,kenapa yah mengapa aplikasi nya sudah tidak dapat digunakan lagi padahal di email diarahkan mengunduh aplikasi ini,yah aplikasi nya email diarahkan mengunduh aplikasi,"['yah', 'aplikasi', 'nya', 'email', 'diarahkan', 'mengunduh', 'aplikasi']",yah aplikasi nya email arah unduh aplikasi,negatif,,
sangat luar biasa,5,2025-04-09 11:01:01,sangat luar biasa,sangat bagus sekali,bagus,['bagus'],bagus,positif,,
lemot,2,2025-03-20 22:54:32,lemot,lemot,lemot,['lemot'],lot,negatif,,
Aplikasi terlelet sepanjang masa,1,2025-03-08 08:08:18,aplikasi terlelet sepanjang masa,aplikasi terlelet sepanjang masa,aplikasi terlelet,"['aplikasi', 'terlelet']",aplikasi lelet,negatif,,
Mantap,5,2025-02-07 12:57:05,mantap,mantap,mantap,['mantap'],mantap,positif,,
"Banyak penambahan fitur, terutama progres, sungguh sangat membantu di pilkada, semoga pemilu kedepan semakin canggih ... tengkyu kpu",5,2025-01-23 12:28:39,banyak penambahan fitur terutama progres sungguh sangat membantu di pilkada semoga pemilu kedepan semakin canggih tengkyu kpu,banyak penambahan fitur terutama progres sungguh sangat membantu di pilkada semoga pemilu kedepan semakin canggih tengkyu kpu,penambahan fitur progres sungguh membantu pilkada semoga pemilu kedepan canggih tengkyu kpu,"['penambahan', 'fitur', 'progres', 'sungguh', 'membantu', 'pilkada', 'semoga', 'pemilu', 'kedepan', 'canggih', 'tengkyu', 'kpu']",tambah fitur progres sungguh bantu pilkada moga milu depan canggih tengkyu kpu,positif,,
Good game,5,2025-01-04 23:48:25,good game,permainan baik,permainan,['permainan'],main,positif,,
Bagus,5,2024-12-29 20:55:32,bagus,bagus,bagus,['bagus'],bagus,positif,,
Unuius wenda,1,2024-12-21 12:29:25,unuius wenda,kerja bagus,kerja bagus,"['kerja', 'bagus']",kerja bagus,positif,,
Sirekap pilkada belum bisa diupdate dr versi lama🙏,4,2024-12-17 22:24:22,sirekap pilkada belum bisa diupdate dr versi lama,sirekap pilkada belum bisa diupdate dr versi lama,sirekap pilkada diupdate dr versi,"['sirekap', 'pilkada', 'diupdate', 'dr', 'versi']",sirekap pilkada diupdate dr versi,negatif,,
sangat membantu sekali,5,2024-12-17 16:46:36,sangat membantu sekali,sangat membantu sekali,membantu,['membantu'],bantu,positif,,
