,content,score,at,sentimen
,Aplikasi eror ,1,3/12/2025 13:13:35,Negatif
,Sebenernya kalau di lihat hanya untuk dobel cek untuk perhitungan suara dan kadang kala sering maintennes ,2,3/12/2025 13:25:27,Netral
,"Terlalu lama prosesnya, apalagi kalau dipakek bersamaan",1,3/12/2025 13:42:24,Negatif
,Bagus,3,3/12/2025 13:58:20,Positif
,agak sulit,1,3/12/2025 14:55:17,Negatif
,"sering error pada saat pelaksanaan peng upload an data, harus logout kemudian login lagi",1,3/12/2025 15:38:22,Negatif
,Cukup baik,3,3/12/2025 15:42:08,Positif
,Sirekap untuk pilkada ini sangat membantu dikarenakan sistemnya lebih baik dan Minim terjadi trobel...jadi sangat membantu kpps dan pps dalam rekapitulasi di tingkat pps atau desa,3,3/12/2025 15:55:53,Positif
,Aplikasi Sirekap pada Pilkada tahun 2024 sudah cukup efisien dan membantu petugas KPPS dalam mengupload data yang dibutuhkan. ,3,3/12/2025 16:13:05,Positif
,Mudah diaplikasikan ,3,3/12/2025 16:29:47,Positif
,Aplikasi terkait pendataan dan foto kerras pleno yang mengambarkan perolehan suara paska pemungutan suara disetiap tps,1,3/12/2025 16:43:44,Negatif
,"Cukup baik, ada peningkatan untuk sirekap versi terbaru dan lebih baik dari sirekap PILPRES. ",3,3/12/2025 17:02:50,Positif
,sangat membantu perhitungan suara,3,3/12/2025 17:06:56,Positif
,Sangat terbantu sekali,3,3/12/2025 17:09:27,Positif
,Mudah di operasikan ,3,3/12/2025 17:12:19,Positif
,Karena saya pengguna baru yang belum ada pengalaman sebelumnya jadi cukup rumit ya apalagi kendala server dalam pengumpulan daftar hadir yang sangat lama,1,3/12/2025 17:32:52,Negatif
,Kadang aplikasi terdapat gangguan dalam koneksi,1,3/12/2025 17:45:48,Negatif
,Cukup baik dari pada saat pemilu ,3,3/12/2025 17:54:10,Positif
,Perlu ada perbaikan ,1,3/12/2025 18:05:36,Negatif
,Baikk tapi lebih baik disempurnakan sebelum dipakai,2,3/12/2025 18:08:25,Netral
,Baik,3,3/12/2025 18:08:38,Positif
,"Alhamdulillah untuk aplikasi sirekap di pilkada lebih baik ketimbang Pemilu 2024, semoga di Pemilu 5 tahun kedepan lebih baik lagi",3,3/12/2025 18:17:01,Positif
,Alhamdulillah lancar,3,3/12/2025 18:35:49,Positif
,Sangat baik,3,3/12/2025 18:37:29,Positif
