content,label
bagus,Positif
susah,Negatif
lemot,Negatif
lelet,Negatif
mantap,Positif
terlelet,Negatif
membantu,Positif
bantu,Positif
"Sudah lebih banyak kemajuan, gambar lebih jernih, proses login lebih mudah, hanya kendala upload daftar hadir memerlukan waktu yg sangat lama karna sinyal",Positif
baik,Positif
cepat ,Positif
akurat,Positif
kendala,Negatif
mendukung,Positif
sesuai,Netral
harapan,Positif
canggih,Positif
aman,Positif
bug,Negatif
peningkatan,Positif
ningkat,Positif
tingkat,Positif
lancar,Positif
kemajuan,Positif
mempermudah,Positif
mudah,Positif
jernih,Positif
sukses,Positif
buruk,Negatif
bapuk,Negatif
gagal,Negatif
buang,Negatif
kembangin,Positif
versi,Netral
login,Netral
otomatis,Netral
ijin ,Netral
petunjuk,Netral
oke,Netral
istimewa,Positif
stabil,Positif
steady,Positif
jelek,Negatif
Nyusahin,Negatif
berguna,Positif
ngelag,Negatif
ngeleg,Negatif
nyadet,Negatif
terkendala,Negatif
buram,Negatif
kemajuan,Positif
error,Negatif
goblok,Negatif
nyusahin,Negatif
susah,Negatif
salah,Negatif
keteteran,Negatif
Mempersulit,Negatif
memperlambat,Negatif
eror,Negatif
cacat,Negatif
lemah,Negatif
busuk,Negatif
gaguna,Negatif
Mantab,Negatif
curiga,Negatif
ajib ,Positif
repot,Negatif
burik,Negatif
ribet,Negatif
gampang,Positif
nyiksa,Negatif
macet,Negatif
mempersulit,Negatif
dikit,Negatif
keren,Positif
kren,Positif
kalah,Negatif
semoga,Positif
badut,Negatif
abal,Negatif
kesel,Negatif
bete,Negatif
gabisa,Negatif
down,Negatif
aneh,Negatif
lambat,Negatif
boros,Negatif
cerdas,Positif
efesien,Positif
"Aplikasi sudah berjalan lebih baik dari sebelumnya, walaupun terdapat sedikit kendala dalam unggah daftar hadir dikarenakan jaringan yang kurang baik, tapi keseluruhan sudah cukup baik",Positif
Alhamdulillah aplikasi dapat di gunakan dengan baik,Positif
saya sudah muak anjir,Negatif
aplikasi buruk banget,Negatif
"fuck deh lemot banget, percuma deh bikin apk gini",Negatif
aplikasi sudah baik tapi kalo boleh saran di perbaiki servernya,Netral
alhamdulillah aplikasi berjalan dengan sangat baik,Positif
saya menyukai aplikasi ini,Positif
aplikasi ini sudah keren dan akurat,Positif
"kenapa yah kok aplikasi nya sudah tidak dapat di gunakan lagi, padahal di email diarahkan mengunduh aplikasi ini?",Negatif
"Aplikasi sirekap cukup baik, sangat istimewa",Positif
"Saya sangat terbantu dengan fitur rekap otomatisnya, semua data langsung tersinkron dengan baik ke pusat.",Positif
Aplikasi ini sungguh membantu pekerjaan sirekap,Positif
"User interface-nya sangat ramah pengguna, bahkan petugas baru sekalipun bisa langsung mengoperasikan tanpa pelatihan lama.",Positif
Sirekap mudah di gunakan dan cukup stabil,Positif
"Sirekap ramah pengguna Ui nya, dan cukup stabil",Positif
Sirekap bisa diandalkan.,Positif
Sirekap cukup praktis,Positif
Sirekap cukup efisen dan modern,Positif
Sirekap sangat canggih!,Positif
Aplikasi ini tersinkronisasi dengan baik.,Positif
Aplikasi ini cukup fleksibel dan terkini,Positif
"Aplikasi ini sunggu interaktif, dan aman",Positif
saya rasa sirekap cukup reliable,Positif
"Setelah digunakan pada Pilkada kemarin, aplikasi ini cukup akurat dan transparan. Terima kasih, KPU.",Positif
Saya bangga menjadi warga Indoensia,Positif
Boleh lah aplikasi ini ,Positif
Saya rasa Sirekap cukup andal,Positif
Baikk tapi kedepannya lebih di sempurnakan lagi ya aplikasinya sebelum di pakai,Netral
"Aplikasi sirekap kemarin sudah berjalan dengan baik, terutama dalam scan hasil perhitungan sdh cukup baik walaupun masi perlu sedikit edit agar sesuai, lalu untuk upload daftar hadir juga butuh waktu yg cukup memakan waktu karna banyak nya dokumen yg di upload dan ada pengaruh dari sinyal",Netral
"Alhamdulillah Aplikasi dapat digunakan dengan baik, walaupun saat mengunggah daftar hadir perlu membutuhkan waktu tunggu yang lumayan, tapi berhasil ",Positif
"Aplikasi berjalan dengan cukup baik, walaupun pada saat scan C Hasil perlu edit, tapi keseluruhan sudah lumayan baik",Positif
Aplikasi sudah cukup berjalan baik walaupun ada yang perlu di edit dalam scan C hasil,Netral
"Aplikasi sudah berjalan lebih baik dari sebelumnya, walaupun terdapat sedikit kendala dalam unggah daftar hadir dikarenakan jaringan yang kurang baik, tapi keseluruhan sudah cukup baik",Positif
"Alhamdulillah Aplikasi berjalan cukup baik, hanya saja terdapat kendala ringan dalam scan C hasil dan juga unggah daftar hadir, dikarenakan banyak yang akses sehingga membutuhkan waktu yang cukup lama",Netral
buat versi lebih baikk,Netral
"sirekap ni sistemyang bagus, cermat dan cerdas, alangkah baiknya bisa di gunakan oleh user IPhon",Positif
Aplikasi bagus,Positif
Ok mantab,Positif
Bagus banget bjir wkwk,Positif
"Bagus kok aplikasinya, semoga besok lancar pas penggunaannya",Positif
Cukup baik,Netral
Sirekap untuk pilkada ini sangat membantu dikarenakan sistemnya lebih baik dan Minim terjadi trobel...jadi sangat membantu kpps dan pps dalam rekapitulasi di tingkat pps atau desa,Positif
Aplikasi Sirekap pada Pilkada tahun 2024 sudah cukup efisien dan membantu petugas KPPS dalam mengupload data yang dibutuhkan. ,Positif
Mudah diaplikasikan ,Positif
"Cukup baik, ada peningkatan untuk sirekap versi terbaru dan lebih baik dari sirekap PILPRES. ",Positif
sangat membantu perhitungan suara,Positif
Sangat terbantu sekali,Positif
Mudah di operasikan ,Positif
Aplikasi ini cukup baik dari pada saat pemilu ,Positif
"Alhamdulillah untuk aplikasi sirekap di pilkada lebih baik ketimbang Pemilu 2024, semoga di Pemilu 5 tahun kedepan lebih baik lagi",Positif
Alhamdulillah lancar penggunaannya,Positif
Sangat baik,Positif
Berjalan cukup lancar tanpa kendala yg berarti,Positif
Cukup baik selama proses scan tidak ada kendala seperti server down atau yang semacam nya,Positif
Mempermudah penghitungan cepat hasil pilkada 2024,Positif
Sangat membantu,Positif
Bisa digunakan dengan lancar,Positif
Sangat menyenangkan,Positif
Lumayan baik dari sebelumnya yang awalnya ribet jadi dipermudah,Positif
Sirekap cukup membantu di dalam proses perhitungan suara,Positif
Aplikasi sudah berjalan cukup baik dari sebelum nya,Positif
aplikasi sudah bagus,Positif
"Banyak penambahan fitur, terutama progres, sungguh sangat membantu di pilkada, semoga pemilu kedepan semakin canggih",Positif
Sejauh ini sudah baik,Positif
Untuk sirekap pilkada sudah lumayan baik sistemnya lancar ,Positif
Alhamdulillah untuk  SIREKAP  Pilkada sudah lebih baik dibandingkan saat Pilpres. Sebisa mungkin pada saat Pilkada jaringan difokuskan dalam pengguna Sirekap sehingga dalam pengiriman foto TDK terlalu terkendala pada jaringan. Terimakasih ,Positif
sangat luar biasa,Positif
"Banyak penambahan fitur, terutama progres, sungguh sangat membantu di pilkada, semoga pemilu kedepan semakin canggih ... tengkyu kpu",Positif
Good game,Positif
sangat membantu sekali,Positif
Pengalaman saya di pilkada 2024 yg kebetulan saya sendiri memegang sirekap Sangat bagus cepat dan akurat,Positif
Sangat membantu tugas KPPS dalam menghitung perolehan suara. Cuma kendala nya di sinyal kalau sinyal kurang mendukung ya tidak bisa unggah data,Positif
Untuk sekarang sirekap berjalan sesuai dengan yg di harapkan tidak pas waktu pemilu.. Semoga 5 tahun yg akan datang sirekap lebih baik pagi,Positif
Aman gak ada bug,Positif
"Testimoni dari kami TPS 01 Bago Tanggul... Mengenai Penggunaan aplikasi sirekap pilkada tahun 2024 cukup bagus ada peningkatan di bandingkan dengan Pilpres tahun 2024, mungkin ada kendala jaringan tetapi proses tetap berjalan dengan lancar",Positif
Alhamdulillah aplikasinya sudah lebih lancar dan digunakan saat hari pemungutan suara lancar tanpa ada kendala sama sekali. Good KPU sudah berbenah dari masalah Pemilu kemarin,Positif
"Jamal Dr TPS 1 Loktabat Selatan, Banjarbaru. Aplikasi ny berjalan dengan baik dan lancar. Terima kasih sdh mempermudah kami sebagai KPPS dalam melaksanakan pilkada thn ini.",Positif
