content,score,label
saya iqba bagus baget wak :v,1,Negatif
susah,4,Negatif
"kenapa yah kok aplikasi nya sudah tidak dapat digunakan lagi, padahal di email diarahkan mengunduh aplikasi ini?",1,Negatif
sangat luar biasa,5,Positif
lemot,2,Negatif
Aplikasi terlelet sepanjang masa,1,Negatif
Mantap,5,Positif
"Banyak penambahan fitur, terutama progres, sungguh sangat membantu di pilkada, semoga pemilu kedepan semakin canggih ... tengkyu kpu",5,Positif
Good game,5,Positif
Bagus,5,Positif
Unuius wenda,1,Negatif
Sirekap pilkada belum bisa diupdate dr versi lama🙏,4,Negatif
sangat membantu sekali,5,Positif
Terbaik,4,Positif
Pengalaman saya di pilkada 2024 yg kebetulan saya sendiri memegang sirekap Sangat bagus cepat dan akurat,5,Positif
Sangat membantu tugas KPPS dalam menghitung perolehan suara. Cuma kendala nya di sinyal kalau sinyal kurang mendukung ya tidak bisa unggah data,5,Positif
Untuk sekarang sirekap berjalan sesuai dengan yg di harapkan tidak pas waktu pemilu.. Semoga 5 tahun yg akan datang sirekap lebih baik pagi,5,Positif
testo,5,Netral
👍,1,Negatif
Kenapa ungah daftar gak bisa,5,Negatif
"Aplikasi sudah lebih baik daripada sirekap pilpres, saran saya, untuk kamera lebih baik menggunakan setting mode kamera biasa saja daripada kamera mode malam, karena di banyak device lebih bagus hasil potret menggunakan kamera biasa walaupun saat malam hari",5,Netral
Baik,5,Positif
Aman gak ada bug,5,Positif
Bintang 4 karena ada masalah di peng upload an daftar hadir kemarin,4,Netral
"Testimoni dari kami TPS 01 Bago Tanggul... Mengenai Penggunaan aplikasi sirekap pilkada tahun 2024 cukup bagus ada peningkatan di bandingkan dengan Pilpres tahun 2024, mungkin ada kendala jaringan tetapi proses tetap berjalan dengan lancar",5,Positif
Alhamdulillah aplikasinya sudah lebih lancar dan digunakan saat hari pemungutan suara lancar tanpa ada kendala sama sekali. Good KPU sudah berbenah dari masalah Pemilu kemarin,5,Positif
"Jamal Dr TPS 1 Loktabat Selatan, Banjarbaru. Aplikasi ny berjalan dengan baik dan lancar. Terima kasih sdh mempermudah kami sebagai KPPS dalam melaksanakan pilkada thn ini.",5,Positif
"Sudah lebih banyak kemajuan, gambar lebih jernih, proses login lebih mudah, hanya kendala upload daftar hadir memerlukan waktu yg sangat lama...",4,Positif
Pilkada kemarin sangat Luar biasa,5,Positif
Sukses selalu,4,Positif
Bagus banget,3,Positif
Aplikasi pemerintah gak jelas.,1,Negatif
Mantap 👍,5,Positif
Terima kasih sudah membantu saya,1,Negatif
"Tidak bisa unggah berkas, setiap diunggah malah keluar terus",2,Negatif
