content,score,at,sentimen,,
saya iqba bagus baget wak :v,1,2025-05-05 09:02:11,positif,,
susah,4,2025-04-11 14:01:31,negatif,,
"kenapa yah kok aplikasi nya sudah tidak dapat digunakan lagi, padahal di email diarahkan mengunduh aplikasi ini?",1,2025-04-09 23:09:47,negatif,,
sangat luar biasa,5,2025-04-09 11:01:01,positif,,
lemot,2,2025-03-20 22:54:32,negatif,,
Aplikasi terlelet sepanjang masa,1,2025-03-08 08:08:18,negatif,,
Mantap,5,2025-02-07 12:57:05,positif,,
"Banyak penambahan fitur, terutama progres, sungguh sangat membantu di pilkada, semoga pemilu kedepan semakin canggih ... tengkyu kpu",5,2025-01-23 12:28:39,positif,,
Good game,5,2025-01-04 23:48:25,positif,,
Bagus,5,2024-12-29 20:55:32,positif,,
Unuius wenda,1,2024-12-21 12:29:25,positif,,
Sirekap pilkada belum bisa diupdate dr versi lama🙏,4,2024-12-17 22:24:22,negatif,,
sangat membantu sekali,5,2024-12-17 16:46:36,positif,,
Terbaik,4,2024-12-12 01:13:58,positif,,
Pengalaman saya di pilkada 2024 yg kebetulan saya sendiri memegang sirekap Sangat bagus cepat dan akurat,5,2024-12-11 01:53:31,positif,,
Sangat membantu tugas KPPS dalam menghitung perolehan suara. Cuma kendala nya di sinyal kalau sinyal kurang mendukung ya tidak bisa unggah data,5,2024-12-05 00:29:33,negatif,,
Untuk sekarang sirekap berjalan sesuai dengan yg di harapkan tidak pas waktu pemilu.. Semoga 5 tahun yg akan datang sirekap lebih baik pagi,5,2024-12-04 09:12:45,positif,,
testo,5,2024-12-03 10:39:00,positif,,
👍,1,2024-12-03 09:09:58,netral,,
Kenapa ungah daftar gak bisa,5,2024-12-03 04:16:31,negatif,,
"Aplikasi sudah lebih baik daripada sirekap pilpres, saran saya, untuk kamera lebih baik menggunakan setting mode kamera biasa saja daripada kamera mode malam, karena di banyak device lebih bagus hasil potret menggunakan kamera biasa walaupun saat malam hari",5,2024-12-03 02:42:28,positif,,
Baik,5,2024-12-02 17:31:53,positif,,
Aman gak ada bug,5,2024-12-02 10:44:14,negatif,,
Bintang 4 karena ada masalah di peng upload an daftar hadir kemarin,4,2024-12-02 03:17:01,netral,,
