content,sentimen
Bintang 4 karena ada masalah di peng upload an daftar hadir kemarin,netral
"Kira kira, kalau yg versi 2.71 yg Sdh di rekap, apa bisa datanya login otomatis ke 2.73 ? Ijin petunjuk 🙏",netral
Sebelum nya lancar lancar aja tidak ada kendali tapi setelah hari H mau unggah yg pdf nya gagal terus,netral
Masuk sekali,netral
🙏🏼,netral
Sedang dugunakan,netral
Transport kenapa bisa gitu sih pelantikan sama bimtek,netral
-9999 aura,netral
kok bnayak update... aplikasinya,netral
Biarkan bintang yang menilai 👍,netral
semoga lancar tidak ada masalah apapun,netral
Apa ada Cara untuk Mereset password. Ada beberapa pengguna sirekap Lupa password nya untuk login,netral
Agar di permudah untuk login,netral
Yaa gitulah!,netral
Namanya juga aplikasi pemerintah ya buk ya Kira-kira berapa milyar ini biayanya ya?,netral
👍,netral
Sirekap masih tetap sudah dipakai,netral
Mantob,netral
Sirekap saya .lupa pasword nya jadi gg bisa buka ..mohon arahan nya,netral
"Semoga, dengan mengirim email masalah lupa sandi bisa teratasi, , 🙏🙏",netral
Semoga Bisa Digunakan Sampai Hari H Sebagaimana Mestinya 😄😄😄😄😄,netral
gw kasih bintang lima buat si rekap..... tolong di tingkatkan admin jaringan aplikasinya,netral
Semoga bisa ke versi 2.73,netral
Full update,netral
🔥,netral
Saya lupa password apakah bisa di bantu?,netral
Kpps kedua sy,netral
Penting sekali,netral
hehehe,netral
Bagaimana solusinya jika lupa password akun sirekap??,netral
moga saja lancar tanpa kendala sampai hari H,netral
"Aplikasi masih uji nyoba, jadi apabila mau update masih ada kendala di karenakan ruang HP. Agat lebih mudah di gunakkan oleh pengguna baru APL sirekap agar pengunggahan maupun pengupdatean lebih di mudahkan lagi",netral
👍,netral
👍👍👍,netral
tolong di permuda cara masuknya,netral
bintang yang berbicara,netral
🙏,netral
Gemana cara kalau lupa password serekap,netral
versi 2.73 seperti arahan,netral
Tolong diperbaiki lagi,netral
👍,netral
Kalau lupa password akun ini bagaimana cara memulihkannya yah?,netral
Semoga bisa masuk,netral
Mantap,positif
Sangat membantu dan mudah di gunakan.,positif
Sangat membantu,positif
Mantap,positif
Bismillah lancar,positif
mantap,positif
"Selama Bimtek dan Produjinasional2 sih aman tapi gatau nanti pas scan setelah penghitungan suara bakal bisa apa enggak, semoga aja bisa dan lancar.",positif
Siap,positif
Versi baru lebih gampang membaca angka,positif
Sangat membantu suatu pekerjaan,positif
Bagus,positif
Membantu kita saat pemilu,positif
Bagus,positif
susah,negatif
"kenapa yah kok aplikasi nya sudah tidak dapat digunakan lagi, padahal di email diarahkan mengunduh aplikasi ini?",negatif
lemot,negatif
Aplikasi terlelet sepanjang masa,negatif
Sirekap pilkada belum bisa diupdate dr versi lama🙏,negatif
Sangat membantu tugas KPPS dalam menghitung perolehan suara. Cuma kendala nya di sinyal kalau sinyal kurang mendukung ya tidak bisa unggah data,negatif
Kenapa ungah daftar gak bisa,negatif
Aman gak ada bug,negatif
"Sudah lebih banyak kemajuan, gambar lebih jernih, proses login lebih mudah, hanya kendala upload daftar hadir memerlukan waktu yg sangat lama...",negatif
Aplikasi pemerintah gak jelas.,negatif
"Tidak bisa unggah berkas, setiap diunggah malah keluar terus",negatif
"Ganti dari bintang 1 ke bintang 4 karena banyak perkembangan di aplikasi ini, pas pemilu kemarin jelek bgt banyak kendala tapi di pilkada kali ini udah bagus aplikasi lancar paling beberapa kali gagal upload berkas tapi masih bisa di atasi, semoga pemilu selanjutnya makin bagus dan gak usah ganti dan buat aplikasi baru buang buang anggaran, pertahanin yang ini dan kembangin biar makin mudah aja",negatif
"Min tolong punya saya, tinggal upload berkas daftar hadir, tapi saya tinggal sampai sekarang udah 13 jam masih belum bisa juga di upload, tampilan tetap sama dengan saya terakhir upload, udah saya coba pakai WiFi & Data tapi juga belum bisa Penyimpanan saya juga masih 10gb Tolong min di perbaiki🙏🏽🙏🏽",negatif
"aplikasi kntol nyusahin kpps, developer TOLOL",negatif
"Aplikasinya kurang stabil, scanner camera juga kurang bagus, suka ngelag ngelag, sarannya agar ada pilihan upload terutama untuk daftar hadir dan tanda terima dan kejadian khusus karena dengan scanner yang tidak stabil seperti ini cukup sulit menangkap gambar yang bagus",negatif
selalu menyusahkan yg bawah,negatif
Aplikasi nya Bapuk..!!!,negatif
