content,score,at,label,Unnamed: 0,clean_text,normalized_text,text_StopWords,text_tokens,text_steaming
susah,1,2025-04-11 14:01:31,Negatif,,susah,susah,susah,['susah'],susah
"kenapa yah kok aplikasi nya sudah tidak dapat digunakan lagi, padahal di email diarahkan mengunduh aplikasi ini?",1,2025-04-09 23:09:47,Negatif,,kenapa yah kok aplikasi nya sudah tidak dapat digunakan lagi padahal di email diarahkan mengunduh aplikasi ini,kenapa yah mengapa aplikasi nya sudah tidak dapat digunakan lagi padahal di email diarahkan mengunduh aplikasi ini,yah aplikasi nya email diarahkan mengunduh aplikasi,"['yah', 'aplikasi', 'nya', 'email', 'diarahkan', 'mengunduh', 'aplikasi']",yah aplikasi nya email arah unduh aplikasi
sangat luar biasa,5,2025-04-09 11:01:01,Positif,,sangat luar biasa,sangat bagus sekali,bagus,['bagus'],bagus
lemot,2,2025-03-20 22:54:32,Negatif,,lemot,lemot,lemot,['lemot'],lot
Aplikasi terlelet sepanjang masa,1,2025-03-08 08:08:18,Negatif,,aplikasi terlelet sepanjang masa,aplikasi terlelet sepanjang masa,aplikasi terlelet,"['aplikasi', 'terlelet']",aplikasi lelet
Mantap,5,2025-02-07 12:57:05,Positif,,mantap,mantap,mantap,['mantap'],mantap
"Banyak penambahan fitur, terutama progres, sungguh sangat membantu di pilkada, semoga pemilu kedepan semakin canggih ... tengkyu kpu",5,2025-01-23 12:28:39,Positif,,banyak penambahan fitur terutama progres sungguh sangat membantu di pilkada semoga pemilu kedepan semakin canggih tengkyu kpu,banyak penambahan fitur terutama progres sungguh sangat membantu di pilkada semoga pemilu kedepan semakin canggih tengkyu kpu,penambahan fitur progres sungguh membantu pilkada semoga pemilu kedepan canggih tengkyu kpu,"['penambahan', 'fitur', 'progres', 'sungguh', 'membantu', 'pilkada', 'semoga', 'pemilu', 'kedepan', 'canggih', 'tengkyu', 'kpu']",tambah fitur progres sungguh bantu pilkada moga milu depan canggih tengkyu kpu
Good game,5,2025-01-04 23:48:25,Positif,,good game,permainan baik,permainan,['permainan'],main
Bagus,5,2024-12-29 20:55:32,Positif,,bagus,bagus,bagus,['bagus'],bagus
Unuius wenda,4,2024-12-21 12:29:25,Positif,,unuius wenda,kerja bagus,kerja bagus,"['kerja', 'bagus']",kerja bagus
