content,score,at,label,Unnamed: 0
saya iqba bagus baget wak :v,1,2025-05-05 09:02:11,Negatif,
susah,4,2025-04-11 14:01:31,Positif,
"kenapa yah kok aplikasi nya sudah tidak dapat digunakan lagi, padahal di email diarahkan mengunduh aplikasi ini?",1,2025-04-09 23:09:47,Negatif,
sangat luar biasa,5,2025-04-09 11:01:01,Positif,
lemot,2,2025-03-20 22:54:32,Negatif,
Aplikasi terlelet sepanjang masa,1,2025-03-08 08:08:18,Negatif,
Mantap,5,2025-02-07 12:57:05,Positif,
"Banyak penambahan fitur, terutama progres, sungguh sangat membantu di pilkada, semoga pemilu kedepan semakin canggih ... tengkyu kpu",5,2025-01-23 12:28:39,Positif,
Good game,5,2025-01-04 23:48:25,Positif,
Bagus,5,2024-12-29 20:55:32,Positif,
Unuius wenda,1,2024-12-21 12:29:25,Negatif,
Sirekap pilkada belum bisa diupdate dr versi lama🙏,4,2024-12-17 22:24:22,Positif,
sangat membantu sekali,5,2024-12-17 16:46:36,Positif,
Terbaik,4,2024-12-12 01:13:58,Positif,
Pengalaman saya di pilkada 2024 yg kebetulan saya sendiri memegang sirekap Sangat bagus cepat dan akurat,5,2024-12-11 01:53:31,Positif,
Sangat membantu tugas KPPS dalam menghitung perolehan suara. Cuma kendala nya di sinyal kalau sinyal kurang mendukung ya tidak bisa unggah data,5,2024-12-05 00:29:33,Positif,
Untuk sekarang sirekap berjalan sesuai dengan yg di harapkan tidak pas waktu pemilu.. Semoga 5 tahun yg akan datang sirekap lebih baik pagi,5,2024-12-04 09:12:45,Positif,
testo,5,2024-12-03 10:39:00,Positif,
👍,1,2024-12-03 09:09:58,Negatif,
Kenapa ungah daftar gak bisa,5,2024-12-03 04:16:31,Positif,
"Aplikasi sudah lebih baik daripada sirekap pilpres, saran saya, untuk kamera lebih baik menggunakan setting mode kamera biasa saja daripada kamera mode malam, karena di banyak device lebih bagus hasil potret menggunakan kamera biasa walaupun saat malam hari",5,2024-12-03 02:42:28,Positif,
Baik,5,2024-12-02 17:31:53,Positif,
Aman gak ada bug,5,2024-12-02 10:44:14,Positif,
Bintang 4 karena ada masalah di peng upload an daftar hadir kemarin,4,2024-12-02 03:17:01,Positif,
"Testimoni dari kami TPS 01 Bago Tanggul... Mengenai Penggunaan aplikasi sirekap pilkada tahun 2024 cukup bagus ada peningkatan di bandingkan dengan Pilpres tahun 2024, mungkin ada kendala jaringan tetapi proses tetap berjalan dengan lancar",5,2024-12-02 02:55:58,Positif,
Alhamdulillah aplikasinya sudah lebih lancar dan digunakan saat hari pemungutan suara lancar tanpa ada kendala sama sekali. Good KPU sudah berbenah dari masalah Pemilu kemarin,5,2024-12-01 05:00:50,Positif,
"Jamal Dr TPS 1 Loktabat Selatan, Banjarbaru. Aplikasi ny berjalan dengan baik dan lancar. Terima kasih sdh mempermudah kami sebagai KPPS dalam melaksanakan pilkada thn ini.",5,2024-11-30 12:20:58,Positif,
"Sudah lebih banyak kemajuan, gambar lebih jernih, proses login lebih mudah, hanya kendala upload daftar hadir memerlukan waktu yg sangat lama...",4,2024-11-30 10:31:59,Positif,
Pilkada kemarin sangat Luar biasa,5,2024-11-30 05:49:26,Positif,
Sukses selalu,4,2024-11-29 10:15:09,Positif,
Bagus banget,3,2024-11-29 06:39:15,Netral,
Aplikasi pemerintah gak jelas.,1,2024-11-28 14:45:39,Negatif,
Mantap 👍,5,2024-11-28 13:32:02,Positif,
Terima kasih sudah membantu saya,1,2024-11-28 13:23:44,Negatif,
"Tidak bisa unggah berkas, setiap diunggah malah keluar terus",2,2024-11-28 10:22:30,Negatif,
"Ganti dari bintang 1 ke bintang 4 karena banyak perkembangan di aplikasi ini, pas pemilu kemarin jelek bgt banyak kendala tapi di pilkada kali ini udah bagus aplikasi lancar paling beberapa kali gagal upload berkas tapi masih bisa di atasi, semoga pemilu selanjutnya makin bagus dan gak usah ganti dan buat aplikasi baru buang buang anggaran, pertahanin yang ini dan kembangin biar makin mudah aja",4,2024-11-28 09:57:28,Positif,
"Kira kira, kalau yg versi 2.71 yg Sdh di rekap, apa bisa datanya login otomatis ke 2.73 ? Ijin petunjuk 🙏",2,2024-11-28 09:26:00,Negatif,
Sebelum nya lancar lancar aja tidak ada kendali tapi setelah hari H mau unggah yg pdf nya gagal terus,4,2024-11-28 08:56:27,Positif,
Oke,5,2024-11-28 07:39:18,Positif,
🗿,1,2024-11-28 06:59:15,Negatif,
"Min tolong punya saya, tinggal upload berkas daftar hadir, tapi saya tinggal sampai sekarang udah 13 jam masih belum bisa juga di upload, tampilan tetap sama dengan saya terakhir upload, udah saya coba pakai WiFi & Data tapi juga belum bisa Penyimpanan saya juga masih 10gb Tolong min di perbaiki🙏🏽🙏🏽",2,2024-11-28 05:50:44,Negatif,
"Istimewa beritanya, jelas dan akurat",5,2024-11-28 05:30:19,Positif,
